person_id,title,firm,start_date,end_date,location
64,Production Database Administrator,Employment Security Commission,08/09,02/10,"Raleigh, NC"
64,Sr SQL Server Support Engineer,Microsoft,12/07,01/09,"Charlotte, NC"
65,Oracle Database Senior Technical Engineer,Oracle Corp.,09/2015,Present,"Lehi, UT"
65,Oracle Database Administrator,United Guaranty,07/2013,08/2015,"Greensboro, NC"
65,Oracle Database Administrator,"Hanes Brands, Inc",05/2011,06/2013,"Salem, NC"
66,Database Administrator,Posh Lane Freight,01/2018,Present,"Smyrna, GA"
66,Database Administrator,Apolinari Taxes & Multi-Services,10/2015,12/2017,
66,Network Technician,"Intown Suites - Atlanta, GA",06/2013,08/2015,
66,Technical Production Assistant,"Ceridian Inc - Atlanta, GA",08/2010,03/2013,
67,SQL Server Database Specialist/DBA,"NBTY, Inc",05/2019,Present,"Long Island, NY"
67,SQL Server Database Administrator,North-Shore Medical Centre,12/2015,05/2019,"Boston, MA"
67,SQL Server DBA,MTA,08/2011,12/2015,"New York, NY"
68,Cyber Security Analyst/RMF Specialist (Veteran Affairs),Tech Global Solutions,03/2016,Present,"Columbia, MD"
68,Oracle Database Administrator,QSSI,09/2014,03/2016,
68,Oracle Database Administrator,Disys,06/2013,08/2014,"McLean, VA"
69,Oracle database administrator,Mutual benefits assurance Ltd.,02/11,04/14,Abuja
69,Oracle database administrator,World Access Cybercafé,02/09,02/10,Ibadan
70,Database Architect,"FINITY COMMUNICATIONS, INC",04/15,11/18,"Portland, OR"
70,Developer,VACASA,09/13,01/15,"Portland, OR"
70,Database and Reporting Administrator,LINKTECH WORLDWIDE,08/12,09/13,"Beaverton, OR"
71,Oracle Database Administrator - Business Solutions,Ntt Data,01/2019,,Hyd
71,Database Administrator,Techmahindra,07/2017,04/2018,Texas
71,Software Engineer,Techmahindra,11/2012,06/2017,Pune
72,Oracle Database Administrator,United Health Group,12/2018,Present,"Hartford, CT"
72,Sr Oracle Database Administrator,Bristol Myers Squibb,02/2017,12/2018,"Wallingford, CT"
72,Oracle Database Administrator,"Ambac Financial Group, Inc",06/2014,02/2017,"New York, NY"
72,Oracle Database Administrator,Bon Secours Health System,07/2011,05/2014,"Richmond, VA"
72,Oracle Junior DBA,Enterprise Holdings Inc,05/2010,06/2011,"Clayton, MO"
73,Application Database Administrator,INFOSYS LTD,05/2018,Present,"Round Rock, TX"
73,Oracle Database Administrator,Huntington National Bank,01/2014,12/2017,"Columbus, OH"
73,Oracle Database Administrator,Deutsche Bank,06/2012,12/2013,"Jersey City, NJ"
74,Scrum Master,U.S Bank,05/17,Present,"Milwaukee, WI"
74,Scrum Master,NuStar Energy,07/14,02/17,"San Antonio, TX"
74,Database Administrator,General Dynamics Information Technology,07/12,06/13,"Warrenton, VA"
75,Programmer & Database Administrator,Bucheon University,01/11,05/15,Bucheon
75,Programmer & Database Administrator,AJU IT,05/10,12/10,"Seoul, KR"
75,Server-Side Programmer,Point I,12/08,04/10,"Seoul, KR"
76,Manager Donor and Data Management,YMCA of the Greater Twin Cities,02/17,Present,"Zimmerman, MN"
76,Database and Campaign Administrator,Westminster Presbyterian Church,09/16,01/17,
76,Database Manager,Benilde St. Margaret's Catholic School,05/16,09/16,"Saint Louis Park, MN"
76,Database and Systems Senior Manager,Alzheimer's Association,03/15,05/16,"Edina, MN"
76,Development Operations Manager,Scholarship America,07/12,03/15,"Bloomington, MN"
76,Development Database Manager,Scholarship America,01/11,07/12,"Bloomington, MN"
77,Scrum Master,Salazar Inc,01/19,Present,"Oklahoma City, OK"
77,Scrum Master,Geico Insurance,06/17,01/19,"Dallas, TX"
77,Oracle Database Administrator,Berean Technologies,03/15,05/17,"Detroit, MI"
77,Data Base Administrator,CCA Bank,02/10,12/14,CM
78,SQL Server Database DBA/Admin,OPTUM Care,11/2015,Present,"Columbia, MD"
78,SQL Database Admin/Analyst,M&T Bank,11/2013,10/2015,"Buffalo, NY"
78,SQL Database Administrator,NBTY Inc,06/2012,10/2013,"Bohemia, NY"
79,Sr.MongoDB Architect (Developer/Administrator/DBA),American Express,10/2013,Present,"Houston, TX"
79,Senior MongoDB Administrator,Conifer,05/2011,09/2013,"Dallas, TX"
79,Database Administrator (DBA),CVS Health,02/2010,04/2011,"Irving, TX"
79,Database Administrator (DBA),"J.Crew Group, Inc",06/2008,02/2010,"Dallas, TX"
80,Database Administrator,CCA Global Partners,2017,Present,"St. Louis, MO"
80,Database Administrator / SQL Developer,Genesys,2013,2017,"Jacksonville, FL"
81,Financial Analyst,Goodwin College,2017,Present,"East Hartford, CT"
81,Accounting Assistant,4AllPromos/4AllGifts,2016,2017,"Essex, CT"
81,Database Administrator,Saybrook Country Barn,2015,2016,
81,Substitute Teacher,East Lyme Public Schools,2011,2013,
82,Database Administrator,The Whole Person,01/2015,06/2017,"Kansas City, MO"
82,Director of Support Systems,The Whole Person,01/2013,01/2015,"Kansas City, MO"
82,Payroll Manager,The Whole Person,01/2010,01/2013,"Kansas City, MO"
82,Payroll Specialist,The Whole Person,,,"Kansas City, MO"
82,Release Specialist,James B Nutter & Company,,,"Kansas City, MO"
82,Office Manager / Designer,Extreme Signs,,,"Independence, Missouri"
83,POS Database Administrator,"Xenial, Inc",06/14,Present,"Lansdale, PA"
83,Interactive Voice Response Tester (Temporary),ASCENSUS,02/14,05/14,"Dresher, PA"
84,Database Administrator,IBM consulting,02/2019,Present,"Boston, MA"
84,Database Administrator,Pacific Northwest National Laboratory,12/2017,02/2019,"Richland, WA"
